,word,len,freq,avg
0,under,5,418,0.0
1,the,3,66024,0.0
2,circumstances,13,3,0.0
3,he,2,4486,0.0
4,opted,5,3,1.0
5,not,3,1179,0.0
6,to,2,11264,0.0
7,run,3,128,0.0
8,for,3,5556,0.0
9,a,1,15705,0.0
10,third,5,570,0.0
11,term,4,195,0.0
12,as,2,6118,0.0
13,governor,8,194,0.0
14,and,3,19865,0.0
15,was,3,13027,0.0
16,succeeded,9,67,0.0
17,on,2,8307,0.0
18,january,7,714,0.0
19,by,2,5470,0.0
20,democratic,10,131,0.0
21,state,5,1251,0.0
22,treasurer,9,4,0.0
23,ann,3,47,0.0
24,richards,8,7,0.0
25,is,2,16914,0.0
26,index,5,15,0.0
27,of,2,28300,0.0
28,graham,6,11,0.0
29,s,1,5179,0.0
30,number,6,723,0.0
31,in,2,30280,0.0
32,rapidly,7,27,0.0
33,growing,7,46,0.0
34,sequence,8,34,0.0
35,team,4,721,0.0
36,first,5,3038,0.0
37,canadian,8,145,0.0
38,franchise,9,67,0.0
39,nll,3,5,0.0
40,ancient,7,105,0.0
41,egyptians,9,3,0.0
42,believed,8,58,0.0
43,that,4,3251,0.0
44,human,5,114,0.0
45,soul,4,24,0.0
46,made,4,617,0.0
47,up,2,440,0.0
48,five,4,364,0.0
49,parts,5,115,0.0
50,ren,3,7,0.0
51,ba,2,12,1.0
52,ka,2,5,1.0
53,sheut,5,1,1.0
54,ib,2,1,0.0
55,lauren,6,5,0.6666666666666666
56,boswell,7,2,0.8571428571428571
57,abc,3,41,0.0
58,medical,7,89,0.0
59,drama,5,90,0.0
60,grey,4,25,0.0
61,anatomy,7,11,0.0
62,one,3,2146,0.0
63,liberty,7,15,0.0
64,plaza,5,16,0.0
65,formerly,8,82,0.0
66,u,1,697,0.0
67,commune,7,156,0.0
68,mentioned,9,23,0.0
69,name,4,665,0.0
70,jeum,4,1,0.0
71,returning,9,33,0.0
72,constantinople,14,3,0.0
73,enver,5,2,0.4
74,pasha,5,1,0.8
75,publicly,8,12,0.0
76,blamed,6,2,0.0
77,his,3,3254,0.0
78,defeat,6,37,0.0
79,armenians,9,5,0.0
80,region,6,537,0.0
81,having,6,160,0.0
82,actively,8,8,0.0
83,sided,5,2,0.0
84,with,4,4506,0.0
85,russians,8,7,0.0
86,terms,5,114,0.0
87,membership,10,14,0.0
88,it,2,4456,0.0
89,largest,7,1037,0.0
90,upper,5,94,0.0
91,house,5,344,0.0
92,any,3,244,0.0
93,currently,9,220,0.0
94,every,5,155,0.0
95,constituency,12,25,0.0
96,elects,6,5,0.3333333333333333
97,between,7,633,0.0
98,three,5,823,0.3999999999999981
99,tds,3,1,0.6666666666666666
100,because,7,213,0.0
101,two,3,1263,0.0
102,species,7,308,0.0
103,are,3,3014,0.0
104,proficient,10,1,1.0
105,swimmers,8,2,0.0
106,formation,9,54,0.0
107,congo,5,27,0.0
108,river,5,663,0.0
109,teaching,8,28,0.0
110,at,2,4098,0.0
111,forest,6,76,0.0
112,grove,5,16,0.0
113,near,4,277,0.0
114,witchcliffe,11,1,1.0
115,south,5,909,0.0
116,west,4,601,0.0
117,where,5,693,0.0
118,established,11,293,0.0
119,branch,6,81,0.0
120,australian,10,197,0.0
121,labor,5,48,0.0
122,party,5,481,0.0
123,alp,3,4,0.6666666666666666
124,apache,6,3,0.0
125,license,7,25,0.0
126,according,9,230,0.0
127,cia,3,4,0.0
128,factbook,8,1,0.0
129,approximately,13,159,0.0
130,population,10,530,0.0
131,christian,9,92,0.0
132,muslim,6,38,0.0
133,hold,4,52,0.0
134,indigenous,10,25,0.0
135,beliefs,7,6,0.0
136,served,6,368,0.0
137,only,4,921,0.0
138,president,9,545,0.0
139,gdr,3,3,0.0
140,until,5,582,0.0
141,death,5,355,0.0
142,from,4,3708,0.0
143,bethany,7,1,0.0
144,village,7,191,0.0
145,mary,4,139,0.5
146,her,3,1345,0.0
147,sister,6,97,0.0
148,martha,6,9,0.0
149,another,7,211,0.0
150,line,4,264,0.0
151,dance,5,62,0.0
152,nutbush,7,1,1.0
153,nunavut,7,2,0.0
154,both,4,483,0.0
155,least,5,122,0.0
156,populous,8,122,0.0
157,area,4,836,0.0
158,provinces,9,68,0.0
159,territories,11,25,0.0
160,canada,6,247,0.0
161,shepherds,9,1,0.0
162,flat,4,28,0.0
163,wind,4,59,0.0
164,farm,4,28,0.0
165,an,2,3105,0.0
166,megawatt,8,2,0.0
167,mw,2,12,0.0
168,bathurst,8,4,0.0
169,religious,9,51,0.0
170,context,7,11,0.0
171,means,5,93,0.0
172,voluntary,9,6,0.0
173,submission,10,7,0.0
174,god,3,126,0.0
175,catcher,7,6,0.0
176,position,8,118,0.0
177,baseball,8,129,0.0
178,or,2,1976,0.0
179,softball,8,5,0.0
180,player,6,207,0.0
181,simferopol,10,2,0.0
182,became,6,897,0.0
183,capital,7,617,0.0
184,crimean,7,3,0.0
185,autonomous,10,46,0.0
186,soviet,6,114,0.0
187,socialist,9,32,0.0
188,republic,8,252,0.0
189,peri,4,2,0.5
190,gilpin,6,1,1.0
191,born,4,1844,0.0
192,kay,3,6,0.0
193,oldham,6,6,0.0
194,may,3,1013,0.0
195,american,8,1120,0.0
196,actress,7,206,0.0
197,known,5,1170,0.0
198,portraying,10,11,0.0
199,roz,3,1,0.6666666666666666
200,doyle,5,7,0.0
201,demosthenes,11,1,0.0
202,celebrated,10,51,0.0
203,philip,6,38,0.0
204,assassination,13,15,0.0
205,played,6,646,0.0
206,leading,7,98,0.0
207,part,4,811,0.0
208,city,4,2684,0.0
209,uprising,8,14,0.0
210,project,7,60,0.0
211,closed,6,64,0.0
212,april,5,605,0.0
213,all,3,860,0.0
214,content,7,28,0.0
215,deleted,7,3,0.0
216,october,7,769,0.0
217,rolling,7,21,0.0
218,stone,5,80,0.0
219,ranked,6,122,0.0
220,him,3,402,0.0
221,seventh,7,96,0.0
222,among,5,201,0.0
223,greatest,8,96,0.0
224,guitar,6,54,0.0
225,players,7,94,0.0
226,time,4,717,0.0
227,burns,5,21,0.0
228,declared,8,68,0.0
229,incapacitated,13,1,0.0
230,native,6,120,0.0
231,music,5,458,0.0
232,category,8,93,0.0
233,flute,5,18,0.0
234,best,4,521,0.0
235,writing,7,68,0.0
236,playing,7,149,0.0
237,onstage,7,2,0.0
238,television,10,371,0.0
239,alter,5,6,0.39999999999999997
240,egos,4,1,0.5
241,dame,4,13,0.5
242,edna,4,5,0.75
243,everage,7,1,0.0
244,sir,3,51,0.0
245,les,3,16,0.0
246,patterson,9,6,0.0
247,surrounded,10,37,0.0
248,north,5,835,0.0
249,clockwise,9,5,0.0
250,paraguay,8,11,0.0
251,province,8,412,0.0
252,misiones,8,1,0.5
253,brazil,6,107,0.0
254,uruguay,7,13,0.0
255,entre,5,1,0.4
256,rios,4,1,0.75
257,santa,5,95,0.0
258,fe,2,9,1.0
259,chaco,5,2,0.4
260,united,6,1548,0.0
261,states,6,1463,0.0
262,census,6,391,0.0
263,making,6,179,0.0
264,jersey,6,137,0.0
265,nd,2,88,0.0
266,most,4,1410,0.0
267,march,5,662,0.0
268,experts,7,5,0.0
269,many,4,524,0.0
270,countries,9,167,0.0
271,reviewed,8,3,0.0
272,available,9,107,0.0
273,evidence,8,42,0.0
274,years,5,683,0.0
275,worth,5,26,0.0
276,data,4,48,0.0
277,spanning,8,14,0.0
278,variety,7,74,0.0
279,fields,6,25,0.0
280,scissors,8,1,0.0
281,used,4,862,0.0
282,cutting,7,13,0.0
283,various,7,122,0.0
284,thin,4,14,0.0
285,materials,9,20,0.0
286,such,4,357,0.0
287,paper,5,52,0.0
288,cardboard,9,1,0.0
289,metal,5,94,0.0
290,foil,4,2,0.0
291,cloth,5,8,0.0
292,rope,4,9,0.0
293,wire,4,12,0.0
294,ref,3,14,0.0
295,wwe,3,186,0.0
296,smackdown,9,84,0.0
297,excelsior,9,4,1.0
298,stadium,7,165,0.0
299,home,4,556,0.0
300,airdrieonians,13,1,0.0
301,scottish,8,120,0.0
302,league,6,586,0.0
303,glasgow,7,22,0.0
304,fc,2,26,0.0
305,women,5,229,0.0
306,premier,7,80,0.0
307,giants,6,48,0.0
308,defeated,8,145,0.0
309,dolphins,8,7,0.0
310,van,3,61,0.0
311,impe,4,3,0.0
312,king,4,310,0.0
313,mountains,9,86,0.0
314,tour,4,179,0.0
315,de,2,460,0.0
316,lavenir,7,1,0.0
317,suffered,8,45,0.0
318,heart,5,151,0.399999999999999
319,attack,6,94,0.0
320,transferred,11,30,0.0
321,tehran,6,20,0.0
322,hospital,8,119,0.0
323,full,4,95,0.0
324,movie,5,99,0.0
325,premiered,9,79,0.0
326,netherlands,11,101,0.0
327,film,4,879,0.0
328,festival,8,110,0.0
329,september,9,782,0.0
330,officially,10,153,0.0
331,released,8,1533,0.0
332,online,6,43,0.0
333,mother,6,235,0.0
334,ayesha,6,1,1.0
335,akhter,6,1,1.0
336,khatun,6,2,0.0
337,hypothesis,10,23,0.0
338,set,3,265,0.0
339,real,4,74,0.0
340,numbers,7,96,0.0
341,has,3,1676,0.0
342,minimal,7,8,0.0
343,possible,8,49,0.0
344,cardinality,11,11,0.0
345,which,5,2165,0.0
346,greater,7,90,0.0
347,than,4,582,0.0
348,integers,8,13,0.0
349,mustafizur,10,1,0.0
350,rahman,6,2,0.0
351,grew,4,81,0.0
352,small,5,262,0.0
353,town,4,728,0.0
354,shatkhira,9,1,1.0
355,khulna,6,7,0.0
356,division,8,233,0.0
357,bangladesh,10,68,0.0
358,dolores,7,5,0.0
359,weakened,8,32,0.0
360,back,4,188,0.0
361,into,4,881,0.0
362,tropical,8,529,0.0
363,storm,5,368,0.0
364,july,4,775,0.0
365,depression,10,193,0.0
366,next,4,215,0.0
367,day,3,404,0.0
368,later,5,625,0.0
369,ran,3,71,0.0
370,career,6,248,0.0
371,arca,4,4,0.0
372,remax,5,2,0.0
373,series,6,816,0.0
374,race,4,247,0.0
375,talladega,9,3,0.0
376,superspeedway,13,3,0.0
377,finishing,9,48,0.0
378,no,2,458,1.0
379,public,6,286,0.0
380,beta,4,14,0.5
381,louis,5,127,0.0
382,rams,4,6,0.5
383,had,3,1139,0.0
384,worn,4,27,0.0
385,blue,4,110,0.0
386,jesse,5,13,0.0
387,sent,4,87,0.0
388,son,3,412,0.0
389,along,5,245,0.0
390,some,4,441,0.0
391,gifts,5,3,0.0
392,you,3,209,0.0
393,ve,2,15,0.0
394,got,3,60,0.0
395,love,4,147,0.0
396,fifth,5,221,0.0
397,single,6,500,0.0
398,be,2,1391,0.0
399,album,5,1099,0.0
400,reached,7,184,0.0
401,new,3,1521,0.0
402,peak,4,63,0.0
403,uk,2,228,0.0
404,singles,7,136,0.0
405,chart,5,226,0.0
406,spoken,6,116,0.0
407,arapaho,7,1,0.0
408,people,6,562,0.0
409,wyoming,7,21,0.0
410,oklahoma,8,106,0.0
411,tha,3,3,0.6666666666666666
412,last,4,359,0.0
413,meal,4,10,0.5
414,final,5,356,0.0
415,snoop,5,5,0.0
416,limit,5,24,0.0
417,records,7,199,0.0
418,word,4,165,0.0
419,sunni,5,15,0.0
420,comes,5,56,0.0
421,sunnah,6,1,0.0
422,arabic,6,34,0.0
423,refers,6,56,0.0
424,sayings,7,1,0.0
425,actions,7,24,0.0
426,islamic,7,29,0.0
427,prophet,7,6,0.0
428,muhammad,8,22,0.0
429,recorded,8,168,0.0
430,hadith,6,3,0.0
431,joseph,6,84,0.0
432,father,6,316,0.0
433,jesus,5,64,0.0
434,appears,7,73,0.0
435,luke,4,13,0.0
436,variant,7,20,0.0
437,reading,7,25,0.0
438,matthew,7,21,0.0
439,also,4,2124,0.0
440,considered,10,231,0.0
441,error,5,12,0.0
442,ibrox,5,2,0.0
443,goal,4,90,0.0
444,club,4,424,0.0
445,came,4,147,0.0
446,fortnight,9,3,0.0
447,win,3,243,0.0
448,against,7,339,0.0
449,clydebank,9,1,0.0
450,bichelseebalterswil,19,1,1.0
451,municipality,12,384,0.0
452,district,8,645,0.0
453,mnchwilen,9,3,0.0
454,canton,6,64,0.0
455,thurgau,7,5,0.0
456,switzerland,11,69,0.0
457,pitched,7,7,0.0
458,memphis,7,19,0.0
459,red,3,216,0.0
460,sox,3,12,0.0
461,negro,5,9,0.0
462,large,5,267,0.0
463,punjabi,7,29,0.0
464,speakers,8,26,0.0
465,karachi,7,13,0.0
466,irish,5,98,0.0
467,immigrant,9,17,0.0
468,second,6,1161,0.0
469,killer,6,16,0.0
470,filler,6,4,0.6666666666666666
471,other,5,781,0.0
472,match,5,293,0.0
473,ecw,3,51,0.0
474,brand,5,56,0.0
475,kane,4,10,0.0
476,champion,8,107,0.0
477,chavo,5,5,0.0
478,guerrero,8,20,0.0
479,title,5,321,0.0
480,andersen,8,5,0.0
481,serious,7,12,0.0
482,fall,4,76,0.0
483,tnsberg,7,2,0.0
484,norway,6,49,0.0
485,rushed,6,9,0.0
486,never,5,121,0.0
487,regained,8,10,0.0
488,consciousness,13,5,0.0
489,th,2,926,0.0
490,percentile,10,1,0.0
491,says,4,27,0.0
492,usage,5,20,0.0
493,below,5,88,0.0
494,this,4,1471,0.0
495,amount,6,39,0.0
496,reaction,8,56,0.0
497,organic,7,24,0.0
498,halide,6,1,0.5
499,magnesium,9,12,0.0
500,grignard,8,4,0.0
501,but,3,932,0.0
502,provides,8,32,0.0
503,reagent,7,1,0.0
504,iran,4,66,0.0
505,air,3,241,0.0
506,association,11,159,0.0
507,memberships,11,1,1.0
508,following,9,462,0.0
509,organizations,13,15,0.0
510,february,8,573,0.0
511,winners,7,39,0.0
512,q,1,18,0.0
513,awards,6,190,0.0
514,chicago,7,220,0.0
515,major,5,463,0.0
516,world,5,1399,0.0
517,financial,9,46,0.0
518,center,6,268,0.0
519,central,7,384,0.0
520,business,8,92,0.0
521,syncopation,11,1,1.0
522,essential,9,14,0.0
523,character,9,139,0.0
524,musical,7,116,0.0
525,styles,6,18,0.0
526,jazz,4,25,0.0
527,ragtime,7,2,0.7142857142857143
528,beloit,6,2,0.0
529,rock,4,267,0.0
530,county,6,1554,0.0
531,wisconsin,9,59,0.0
532,automotive,10,5,0.0
533,research,8,92,0.0
534,india,5,272,0.0
535,responsible,11,47,0.0
536,homologation,12,1,1.0
537,vehicles,8,26,0.0
538,rubber,6,11,0.0
539,duck,4,50,0.0
540,toy,3,23,0.0
541,shaped,6,11,0.0
542,like,4,206,0.0
543,stylized,8,10,0.0
544,generally,9,131,0.0
545,yellow,6,54,0.0
546,base,4,92,0.0
547,bondi,5,1,0.0
548,beach,5,100,0.0
549,there,5,867,0.0
